,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000022440,232.672943,4.937545656,0.455308673,10.84439183,2.12E-27,1.01E-25
ENSMUSG00000022415,713.9131246,-3.20629987,0.295969633,-10.83320554,2.40E-27,1.14E-25
ENSMUSG00000026872,331.8301347,8.572945464,0.791405747,10.83255397,2.41E-27,1.14E-25
ENSMUSG00000028063,3126.813873,2.958056661,0.273123056,10.8304905,2.47E-27,1.17E-25
ENSMUSG00000031748,208.9005515,7.364634766,0.680146936,10.8280055,2.54E-27,1.20E-25
ENSMUSG00000002458,1215.391091,2.24315257,0.207342634,10.81857852,2.81E-27,1.32E-25
ENSMUSG00000049382,5548.054694,4.948922525,0.457661417,10.81350174,2.97E-27,1.40E-25
ENSMUSG00000027940,13850.92031,2.627204507,0.243007061,10.81122705,3.05E-27,1.43E-25
ENSMUSG00000029762,294.5816637,3.522590693,0.32589049,10.80912394,3.12E-27,1.46E-25
ENSMUSG00000035783,2116.084233,15.79979728,1.461781948,10.80858695,3.13E-27,1.46E-25
ENSMUSG00000022610,569.8294014,4.415709342,0.409280198,10.78896404,3.88E-27,1.81E-25
ENSMUSG00000014077,2386.15231,1.575035755,0.14603386,10.78541483,4.03E-27,1.88E-25
ENSMUSG00000030513,1037.532191,-3.972038671,0.368414941,-10.78142667,4.21E-27,1.95E-25
ENSMUSG00000018411,414.7054182,-5.312668997,0.493324272,-10.76912145,4.82E-27,2.23E-25
ENSMUSG00000025764,3398.855972,-3.080199581,0.286134698,-10.76485867,5.04E-27,2.33E-25
ENSMUSG00000032290,1330.466751,2.351248328,0.218480858,10.76180473,5.21E-27,2.40E-25
ENSMUSG00000022893,203.6309027,7.846630952,0.729305585,10.7590441,5.37E-27,2.47E-25
ENSMUSG00000032092,320.2406165,-3.741734889,0.347885857,-10.75563956,5.57E-27,2.56E-25
ENSMUSG00000050148,5778.741739,2.170421136,0.201830545,10.75368022,5.69E-27,2.61E-25
ENSMUSG00000026187,2826.265698,-1.79243895,0.166756085,-10.74886683,6.00E-27,2.74E-25
ENSMUSG00000007872,365.9705888,3.371103226,0.313713133,10.74581478,6.20E-27,2.83E-25
ENSMUSG00000020534,3357.961322,-1.94923255,0.181438976,-10.74318534,6.38E-27,2.90E-25
ENSMUSG00000024277,3942.692435,2.205717757,0.205314019,10.74314246,6.38E-27,2.90E-25
ENSMUSG00000023921,775.1865077,-2.03446237,0.189470718,-10.73760838,6.78E-27,3.07E-25
ENSMUSG00000047281,2837.139111,3.426837445,0.319211056,10.73533444,6.95E-27,3.14E-25
ENSMUSG00000026824,1034.706699,5.917078298,0.551196649,10.73496784,6.97E-27,3.15E-25
ENSMUSG00000068101,937.5527984,-2.462308671,0.229710255,-10.71919351,8.27E-27,3.73E-25
ENSMUSG00000024579,2057.436503,2.532430139,0.236499424,10.70797593,9.34E-27,4.20E-25
ENSMUSG00000033623,3517.219659,1.659637315,0.155039923,10.70458035,9.69E-27,4.35E-25
ENSMUSG00000068220,2628.323869,4.558650296,0.426082116,10.6989947,1.03E-26,4.61E-25
ENSMUSG00000057093,239.3064818,-5.523975544,0.516449948,-10.69605208,1.06E-26,4.75E-25
ENSMUSG00000061887,7388.139375,2.922234466,0.273705914,10.67654848,1.31E-26,5.85E-25
ENSMUSG00000032657,742.8589705,2.59549592,0.243199874,10.67227495,1.37E-26,6.11E-25
