"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000008601",531.134721528292,4.88785159435097,0.329301746747653,14.8430782485238,7.71336993142492e-50,2.38354643373465e-47
"ENSMUSG00000000753",908.405155024663,-4.02144821733056,0.271309196637108,-14.8223807640015,1.04996125287875e-49,3.1968232028826e-47
"ENSMUSG00000046223",703.728889739978,-5.69167625650804,0.384466626894456,-14.8040840436081,1.37852072249949e-49,4.1363613099463e-47
"ENSMUSG00000030681",1080.08075063831,-3.90726998510876,0.266256452413204,-14.6748367962368,9.34401085452832e-49,2.76369143903077e-46
"ENSMUSG00000021822",221.847356977155,-7.1200914709547,0.485834523759451,-14.6553839275532,1.24451186353549e-48,3.6290667074139e-46
"ENSMUSG00000002233",1299.33753136151,-3.01039343043594,0.20707556371601,-14.5376565752804,6.99464282080964e-48,2.01134840225059e-45
"ENSMUSG00000037820",447.943757938127,-5.90659727685028,0.408231550481597,-14.468742726725,1.9093029983726e-47,5.41509716141182e-45
"ENSMUSG00000073802",229.492477151249,-5.65605102675379,0.391845362548364,-14.4343957268492,3.14388961396236e-47,8.79609331992928e-45
"ENSMUSG00000026235",931.885690874594,-2.97813457779251,0.206855288046262,-14.397188517252,5.38915664226078e-47,1.48769465495156e-44
"ENSMUSG00000034205",2921.71266788436,-6.891247013538,0.479101003295618,-14.3837039917153,6.54934768010821e-47,1.78418018906527e-44
"ENSMUSG00000037664",1121.60684866888,-3.78144441249049,0.263116823367599,-14.3717317809339,7.78596961700653e-47,2.09351577857796e-44
"ENSMUSG00000039286",706.101717401957,-2.84023038747015,0.197685262130326,-14.3674361804356,8.28416157880382e-47,2.19891386317377e-44
"ENSMUSG00000037335",295.789054125413,-9.13321397754992,0.640209924129749,-14.2659675105238,3.56611576589196e-46,9.34593174899078e-44
"ENSMUSG00000051343",1374.65013520251,-4.05013839024132,0.284142900029291,-14.2538785583726,4.24059727884355e-46,1.09746657576471e-43
"ENSMUSG00000003309",781.947601388321,5.05135889913989,0.35591132614464,14.192745574742,1.01601605316108e-45,2.59698720551198e-43
"ENSMUSG00000024063",1456.20102279021,-2.55232059518159,0.180503488802358,-14.1400069999547,2.15262976038205e-45,5.43512762914025e-43
"ENSMUSG00000031217",550.200884435208,-4.37579879404804,0.309492560021199,-14.1386235383116,2.1953650208256e-45,5.47624546881605e-43
"ENSMUSG00000032366",12748.8329705704,-3.96551211257641,0.282007049129406,-14.0617481896941,6.52540885443712e-45,1.60835791574126e-42
"ENSMUSG00000032911",428.427710860311,-7.23599008138565,0.515320707091556,-14.0417219448161,8.65829823671709e-45,2.10895772579989e-42
"ENSMUSG00000028967",1592.45836381454,-3.12855718497049,0.223405559124897,-14.0039361474503,1.47471498003198e-44,3.55029057518396e-42
"ENSMUSG00000039910",1897.56652030172,-4.24852186970545,0.305609647077991,-13.9017924019304,6.17747659798367e-44,1.47009741936384e-41
"ENSMUSG00000008136",210.121266172781,-5.64442894044777,0.406222135146576,-13.8949319893932,6.79880593211487e-44,1.59957361384666e-41
"ENSMUSG00000020205",175.483996533632,-5.51757183883273,0.398531515643762,-13.8447566183568,1.36843453607555e-43,3.18337849830428e-41
"ENSMUSG00000048915",593.205336361343,-2.74958202938572,0.198755460596385,-13.8339949057769,1.58942528655619e-43,3.6563845703177e-41
"ENSMUSG00000049775",2113.52372694247,-5.63000955786898,0.407949420750539,-13.800753896184,2.52201237917305e-43,5.73799387894491e-41
"ENSMUSG00000025925",2403.82484069051,2.05572727746645,0.149879103105953,13.7159032504566,8.15445125553182e-43,1.81537375047883e-40
"ENSMUSG00000031875",569.474598360596,-4.72505639010861,0.344481485614824,-13.7164305990942,8.09537324028875e-43,1.81537375047883e-40
"ENSMUSG00000032332",198.437438644904,-7.64430617246423,0.558253685684484,-13.6932480133856,1.11415383452685e-42,2.45398308404722e-40
"ENSMUSG00000008398",513.8523374537,-5.71837179276407,0.418361950171514,-13.6684796273173,1.56633693844614e-42,3.41362526037778e-40
"ENSMUSG00000140079",424.433161406303,3.61476100714111,0.264920241875132,13.6447142791184,2.17062586997886e-42,4.68131645958775e-40
"ENSMUSG00000110126",415.602577761821,5.12449719116874,0.377179816779287,13.5863504970294,4.82548394941193e-42,1.02996721328479e-39
"ENSMUSG00000034765",1179.97297400092,-3.9712924646331,0.293908507787119,-13.5120024069176,1.32857960364139e-41,2.8068277667134e-39
"ENSMUSG00000027858",476.047561473522,-4.00407209608994,0.296810805311533,-13.4903178200917,1.78330155651399e-41,3.72944196222885e-39
"ENSMUSG00000005103",5304.95209077073,-2.09438214837621,0.155558464748524,-13.4636334432972,2.56010921938378e-41,5.30045012781217e-39
"ENSMUSG00000037419",341.914470582661,-2.74895348922222,0.204541923625507,-13.4395601669183,3.54537627301131e-41,7.26767033231943e-39
"ENSMUSG00000028464",1407.64613234121,-3.13495459982867,0.233968790632212,-13.3990289532105,6.12594060182098e-41,1.24344582568727e-38
"ENSMUSG00000022438",1666.07935927715,-3.56353785264975,0.266109419104389,-13.391250353494,6.8025813163441e-41,1.36738488906396e-38
"ENSMUSG00000032402",1679.91123237231,-1.86981184637942,0.140331120786552,-13.3242849903798,1.67227229976518e-40,3.32910823984021e-38
"ENSMUSG00000016528",1645.69277247198,-2.33540066451945,0.175930531004763,-13.2745615623489,3.25168693238804e-40,6.41170726172971e-38
"ENSMUSG00000129121",129.345444213974,-4.55230601085745,0.344010719760058,-13.2330353369006,5.65563617857893e-40,1.1046631268047e-37
"ENSMUSG00000068699",5568.54446824661,-3.7206794082449,0.281410526390537,-13.2215360099267,6.59042068617349e-40,1.27521560641622e-37
"ENSMUSG00000007655",157.058796121859,-8.2237043518453,0.624618614734587,-13.1659610486308,1.37773289429764e-39,2.64116498551281e-37
"ENSMUSG00000048758",1300.86638147017,-4.14913529500516,0.315382168286844,-13.1558969156159,1.57404504938954e-39,2.98981914702396e-37
"ENSMUSG00000029153",254.201293539713,-4.85649945964975,0.369450016184307,-13.1452138229898,1.81292326410365e-39,3.41225120545472e-37
"ENSMUSG00000068220",2628.32386876126,-4.84468918429259,0.369120044505311,-13.124969116173,2.36879308956968e-39,4.41833262400456e-37
"ENSMUSG00000050737",990.436421350024,-5.18907828003203,0.395730115801215,-13.1126696524624,2.78615351332544e-39,5.15040378034732e-37
"ENSMUSG00000022098",2190.54960719993,-5.39247224082653,0.411291195298305,-13.1110811572697,2.84513325812581e-39,5.21288840497671e-37
"ENSMUSG00000074743",280.677649157019,-8.03914815334212,0.613711380849575,-13.099232642897,3.32603339780783e-39,6.04054346212398e-37
"ENSMUSG00000003948",1468.52442812134,-4.06878451604909,0.31178296452316,-13.0500539767202,6.35023963562869e-39,1.14326401231353e-36
"ENSMUSG00000018569",1780.34538898723,3.72487987105704,0.286630817559605,12.9953921311425,1.29940031079968e-38,2.29938325083732e-36
"ENSMUSG00000024900",1455.35097786154,-3.40197471356621,0.261781550991976,-12.9954716085798,1.29805107902084e-38,2.29938325083732e-36
"ENSMUSG00000013698",2818.58420037241,-2.26922244807853,0.174795671586617,-12.9821432503496,1.54495961493543e-38,2.71074948030705e-36
"ENSMUSG00000005397",4586.78526611812,-6.69222087667337,0.51590917626613,-12.9717035178712,1.77051166527334e-38,3.08039273258985e-36
"ENSMUSG00000064351",389257.540299058,1.45737857817741,0.112386624847557,12.9675446713897,1.86922557356877e-38,3.22503718959732e-36
"ENSMUSG00000028073",324.882958422784,-6.31765507829309,0.487379994397757,-12.9624833823958,1.99676778188394e-38,3.41661819472109e-36
"ENSMUSG00000033684",719.3865618128,-3.36868602316132,0.260238726646842,-12.9445992399617,2.52075231110102e-38,4.27784064336357e-36
"ENSMUSG00000018378",397.795944106803,-3.34885987843597,0.260534766193109,-12.853792710159,8.18944530349938e-38,1.37849004523294e-35
"ENSMUSG00000030605",2835.18984230547,-3.52469560417381,0.274246688023131,-12.8522813879033,8.35105142887999e-38,1.39435619986719e-35
"ENSMUSG00000028108",466.554016685105,-5.71607692465463,0.44531313635291,-12.8360842248423,1.02951507174297e-37,1.70520640362931e-35
"ENSMUSG00000042759",134.703887473464,-4.79615275973737,0.375678986081129,-12.7666250640424,2.5183927158273e-37,4.13815895146734e-35
"ENSMUSG00000031103",961.844966742477,-4.43124439351598,0.347187756183277,-12.7632507615757,2.62992371621038e-37,4.28739689924565e-35
"ENSMUSG00000014599",1139.84589406985,-6.76443002818365,0.53007034821918,-12.7613816749218,2.69380158212144e-37,4.35722405908143e-35
"ENSMUSG00000006342",625.620379393759,-4.82564329032831,0.379505601240459,-12.7156049200726,4.8434675646783e-37,7.77357771000771e-35
"ENSMUSG00000045136",4802.51865086197,-2.50088436694776,0.196757403541973,-12.7104968958094,5.17048474149111e-37,8.23459354521785e-35
"ENSMUSG00000015143",8327.16374603848,-2.80854742068688,0.221420489435623,-12.6842255106814,7.23252235723305e-37,1.1430697930088e-34
"ENSMUSG00000024491",3271.50937166529,1.53063760995546,0.120851699034907,12.6654206947752,9.19262267633977e-37,1.44184893856772e-34
"ENSMUSG00000026564",392.641496062338,-5.28021020465662,0.417280148218127,-12.6538734881211,1.06492122749758e-36,1.6577540672263e-34
"ENSMUSG00000040728",1457.06526191516,2.5552482732512,0.202301973819913,12.6308618003196,1.42706681290054e-36,2.20492472345468e-34
"ENSMUSG00000032440",527.160834024399,-4.61833107040627,0.365951058931674,-12.6200784440647,1.63658180388875e-36,2.5099103457565e-34
"ENSMUSG00000042942",333.485960324822,-3.94650825453359,0.312916422359727,-12.612020247364,1.81285572211903e-36,2.75980624049649e-34
"ENSMUSG00000054693",1226.96279593966,-1.75886544295887,0.139622085310909,-12.597329706416,2.18414423304233e-36,3.30076804386193e-34
"ENSMUSG00000025743",794.38751971563,-5.09626350995428,0.405803997901658,-12.5584359353436,3.57326490796753e-36,5.36093309091012e-34
"ENSMUSG00000054675",278.163730658479,-3.87423675186198,0.308674284923209,-12.5512131754863,3.91465976409714e-36,5.83087163711275e-34
"ENSMUSG00000058881",1426.43265316517,-2.92855955802063,0.233727277440022,-12.5298150481051,5.12821280708214e-36,7.5838941398449e-34
"ENSMUSG00000035187",143.933793938761,-7.6193418063027,0.608163505566829,-12.528442987057,5.21769693649239e-36,7.66150335979706e-34
"ENSMUSG00000012017",330.661063692937,-6.34477385657195,0.507535103041913,-12.5011527646946,7.35765569095871e-36,1.07276692553246e-33
"ENSMUSG00000028392",670.808392984188,3.07374939246218,0.246223312083864,12.4835839728094,9.17613481789944e-36,1.32855031657196e-33
"ENSMUSG00000038463",113.315569891819,-5.61376393725625,0.450820280244812,-12.4523323001524,1.35817356116365e-35,1.9527517646064e-33
"ENSMUSG00000011263",290.451437936119,-4.9212605023681,0.395871136658734,-12.4314708667698,1.7635916538271e-35,2.51816562764388e-33
