"gene_id","gene_name","aligned.EpiSCs_rep1","aligned.EpiSCs_rep2","aligned.fPSCs_P1","aligned.fPSCs_P10","aligned.fPSCs_P20","aligned.fPSCs_P30","aligned.mESCs_rep1","aligned.mESCs_rep2"
"ENSMUSG00000062939",NA,44462.55535335,36010.6513729865,35217.5096804628,5666.6678051612,26758.7723078725,21310.7787225248,47476.0961670161,41361.4314005434
"ENSMUSG00000033684",NA,39212.3029241742,54043.0430596063,3917.39586585286,5475.47184195084,4503.07981926339,4161.60549180538,5604.81972019289,3694.99385706009
"ENSMUSG00000016918",NA,20141.9099980931,16349.856639352,8428.11344216551,11066.0858068238,9493.36364204149,8947.47158933015,6412.24961834916,7703.53824914673
"ENSMUSG00000033671",NA,6549.20670682437,8442.92340523248,11315.6890142325,7881.41273105597,5605.44400230143,7619.77620330552,8073.52644767722,5044.70914070227
"ENSMUSG00000026489",NA,8776.44597620914,5486.97602924381,26064.0323189998,16600.5730585793,15809.7786996409,13020.1997360557,65813.8750980016,37356.8929355274
"ENSMUSG00000025938",NA,20340.3296095701,21101.0562271223,4277.0788420433,6894.98742458375,7774.30706886066,10961.3819722509,2361.11646274876,2410.62235019252
"ENSMUSG00000026159",NA,12755.8862108753,14451.3384977217,15050.0745518081,14182.5920651641,12501.6476693461,14934.0296935058,16989.4268030909,18409.8136687934
"ENSMUSG00000113880",NA,164024.53495977,153820.583064911,0,306601.003485312,0,78616.501948967,142707.998057562,394924.167565364
"ENSMUSG00000042414",NA,230.201489723002,863.522701168775,0,0,0,0,195277.516942133,193644.359491
"ENSMUSG00000101784",NA,71077.5859405138,0,97781.620824439,99645.7291283586,168050.221102296,34067.2886223442,123680.765183366,106959.061288444
"ENSMUSG00000038496",NA,18074.9533726361,29192.5486389,48810.567133524,59126.2031371063,59828.9857300198,63530.6812742146,25336.2407477415,22364.0940278477
"ENSMUSG00000026166",NA,277368.430347024,141880.017102572,0,141400.307915245,143081.012404336,0,0,0
"ENSMUSG00000010609",NA,30758.7664631863,50939.5128392498,22687.9972190028,24099.1674732332,31069.9950688503,24717.3652413526,20725.8303572838,25841.6238789308
"ENSMUSG00000026163",NA,0,0,32747.6737914134,42271.168677786,4502.4852522039,4563.73885135527,0,20059.9032252002
"ENSMUSG00000038855",NA,31275.5440108408,39155.0461553671,4306.14356349977,5077.29769121567,4000.02530842299,4277.62360475374,5638.00946492027,1845.19312174811
"ENSMUSG00000053963",NA,58056.5734117024,9899.06892463505,0,9865.59927608191,9982.86321443785,20237.3481077789,27551.767404347,0
"ENSMUSG00000045658",NA,11664.4949768196,11772.750963374,16838.4261876788,16939.4411140128,19416.3301881633,22739.0996683202,10876.7332332063,12121.7887687676
"ENSMUSG00000015484",NA,165492.009806854,53613.428403372,0,11248.8750623973,0,11537.4339707144,15707.4284392998,0
"ENSMUSG00000048402",NA,19882.1091895256,22734.7224368692,6277.03376639865,10914.4541964883,10876.4252041777,12441.409436206,40139.6367121607,22315.8075441252
"ENSMUSG00000097408",NA,128255.739183386,240553.921856244,0,0,121295.089258912,122945.235869133,111587.694991746,0
"ENSMUSG00000037035",NA,83143.0395632491,115512.175383642,564.839984793552,3741.45259335885,2329.79940888645,2361.4949261622,21433.4271419543,5931.39731992803
"ENSMUSG00000036766",NA,21836.3722629168,25507.601333373,4216.19009368514,12889.7025582137,20288.9733279287,5875.71216746863,63995.0468256308,54420.5017652314
"ENSMUSG00000005886",NA,6979.4321544794,6935.52555878862,9773.69516191145,8825.01205862755,8187.89922314402,10006.2369646829,8233.04361200751,4989.59894363763
"ENSMUSG00000004451",NA,29482.5048592715,32442.2767742475,14037.6121617205,17846.8099872528,15557.3901185971,13404.3954243352,41812.1235689667,38256.6436979008
"ENSMUSG00000098923",NA,44732.6498267983,45678.7098919382,26945.3942477061,42427.3771908115,42827.2184954404,40868.7922000715,52853.2612572586,57774.2456151879
"ENSMUSG00000101731",NA,163564.766900679,19173.6771420428,0,95544.2460157127,19335.9797455763,39198.0682005391,17788.4976498125,24613.5735985765
"ENSMUSG00000103085",NA,0,0,78434.971070225,0,0,27326.8818312196,49604.9112159735,60057.6219230816
"ENSMUSG00000026496",NA,15352.9550184909,17540.0025665817,21533.2998228244,17965.864790831,17752.2339082991,18010.975677089,46947.4440656881,33825.9980024534
"ENSMUSG00000025935",NA,44164.181311622,28015.2602199656,47005.2452047804,56860.2538982382,52512.7139227126,57602.2957926927,13045.3987306478,17050.1853911939
"ENSMUSG00000025937",NA,9941.08749053571,9669.5427375725,20757.805383716,16335.1075071993,14102.3524815259,14670.9530181595,52055.8102994906,81477.4155452257
"ENSMUSG00000102982",NA,67555.7214984695,18100.8817157646,26553.3093436926,27059.5214930391,63889.361375015,18502.4393267957,335864.101053814,232364.079675242
"ENSMUSG00000097711",NA,0,208602.97100635,204008.449463939,207897.665469044,315553.15073612,0,0,66946.7904057904
"ENSMUSG00000026219",NA,7475.34049336919,6618.3287029383,7926.77759974729,5377.93126835627,5157.83915908031,5347.24184928674,13379.152390091,8954.72363742604
"ENSMUSG00000103505",NA,45706.2489742091,85725.7344902359,0,170871.776036177,0,0,79532.5807987161,110047.575096628
"ENSMUSG00000104503",NA,13528.9596946457,7249.8996010479,31905.9861017174,16257.1208262805,21933.8070842871,51875.1410677665,13452.2784606435,55840.9123374875
"ENSMUSG00000073633",NA,63259.9665365937,43236.5507120808,34417.4186208211,43090.3640183624,33462.4161919227,54473.8050539839,94218.8542426708,99389.9728544769
